Name,Sport,Gender/Category
Brady Ellison,Archery,Men
Casey Kaufhold,Archery,Women
Catalina GNoriega,Archery,Women
Jennifer Mucino-Fernandez,Archery,Women
Anita Alvarez (team),Artistic swimming,Women
Jaime Czarkowski (duet/team),Artistic swimming,Women
Megumi Field (duet/team),Artistic swimming,Women
Keana Hunter (team),Artistic swimming,Women
Audrey Kwon (team),Artistic swimming,Women
Jacklyn Luu (team),Artistic swimming,Women
Daniella Ramirez (team),Artistic swimming,Women
Ruby Remati (team),Artistic swimming,Women
"Vincent Chiu (men's doubles, mixed doubles)",Badminton,Women
Jennie Gai (mixed doubles),Badminton,Women
Howard Shu (men's singles),Badminton,Women
Annie Xu (women's doubles),Badminton,Women
Kerry Xu (women's doubles),Badminton,Women
Joshua Yuan (men's doubles),Badminton,Women
Beiwen Zhang (women's singles),Badminton,Women
Bam Adebayo,Basketball,Men's basketball
Devin Booker,Basketball,Men's basketball
Steph Curry,Basketball,Men's basketball
Anthony Davis,Basketball,Men's basketball
Kevin Durant,Basketball,Men's basketball
Anthony Edwards,Basketball,Men's basketball
Joel Embiid,Basketball,Men's basketball
Tyrese Haliburton,Basketball,Men's basketball
Jrue Holiday,Basketball,Men's basketball
LeBron James,Basketball,Men's basketball
Kawhi Leonard,Basketball,Men's basketball
Jayson Tatum,Basketball,Men's basketball
Napheesa Collier,Basketball,Women's basketball
Kahleah Copper,Basketball,Women's basketball
Chelsea Gray,Basketball,Women's basketball
Brittney Griner,Basketball,Women's basketball
Sabrina Ionescu,Basketball,Women's basketball
Jewell Loyd,Basketball,Women's basketball
Kelsey Plum,Basketball,Women's basketball
Breanna Stewart,Basketball,Women's basketball
Diana Taurasi,Basketball,Women's basketball
Alyssa Thomas,Basketball,Women's basketball
A’ja Wilson,Basketball,Women's basketball
Jackie Young,Basketball,Women's basketball
Canyon Barry,Basketball,Men's 3x3 basketball
Jimmer Fredette,Basketball,Men's 3x3 basketball
Kareem Maddox,Basketball,Men's 3x3 basketball
Dylan Travis,Basketball,Men's 3x3 basketball
